
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-07-01 12:14:02 /api/leave-requests .................................................................. ~ 0.32ms
  2026-07-01 12:14:02 /api/attendance-time-edit-requests ................................................... ~ 3.87ms
  2026-07-01 12:14:02 /api/notifications ................................................................... ~ 5.39ms
  2026-07-01 12:14:03 /api/chat/unread-summary ............................................................. ~ 3.49ms
  2026-07-01 12:14:03 /api/leave-requests ................................................................ ~ 513.00ms
  2026-07-01 12:14:03 /api/attendance-time-edit-requests ................................................. ~ 512.92ms
  2026-07-01 12:14:03 /api/notifications ................................................................... ~ 1.25ms
  2026-07-01 12:14:03 /api/chat/unread-summary ............................................................. ~ 2.30ms
  2026-07-01 12:15:02 /api/leave-requests .................................................................. ~ 1.14ms
  2026-07-01 12:15:02 /api/attendance-time-edit-requests ................................................... ~ 0.17ms
  2026-07-01 12:15:02 /api/notifications ................................................................... ~ 1.66ms
  2026-07-01 12:15:02 /api/chat/unread-summary ............................................................. ~ 2.05ms
  2026-07-01 12:15:02 /api/leave-requests .................................................................. ~ 1.46ms
  2026-07-01 12:15:02 /api/attendance-time-edit-requests ................................................... ~ 1.62ms
  2026-07-01 12:15:03 /api/notifications ................................................................... ~ 1.86ms
  2026-07-01 12:15:03 /api/chat/unread-summary ............................................................. ~ 1.87ms
  2026-07-01 12:16:02 /api/leave-requests .................................................................. ~ 0.48ms
  2026-07-01 12:16:02 /api/attendance-time-edit-requests ................................................... ~ 0.11ms
  2026-07-01 12:16:02 /api/notifications ................................................................... ~ 1.42ms
  2026-07-01 12:16:02 /api/chat/unread-summary ............................................................. ~ 2.31ms
  2026-07-01 12:16:02 /api/leave-requests .................................................................. ~ 2.09ms
  2026-07-01 12:16:02 /api/attendance-time-edit-requests ................................................... ~ 1.87ms
  2026-07-01 12:16:03 /api/notifications ................................................................... ~ 1.80ms
  2026-07-01 12:16:03 /api/chat/unread-summary ............................................................. ~ 3.10ms
  2026-07-01 12:17:02 /api/leave-requests .................................................................. ~ 1.41ms
  2026-07-01 12:17:02 /api/attendance-time-edit-requests ................................................... ~ 0.09ms
  2026-07-01 12:17:02 /api/notifications ................................................................... ~ 1.22ms
  2026-07-01 12:17:02 /api/chat/unread-summary ............................................................. ~ 1.56ms
  2026-07-01 12:17:02 /api/leave-requests .................................................................. ~ 2.23ms
  2026-07-01 12:17:03 /api/attendance-time-edit-requests ................................................... ~ 1.68ms
  2026-07-01 12:17:03 /api/notifications ................................................................... ~ 1.14ms
  2026-07-01 12:17:03 /api/chat/unread-summary ............................................................. ~ 1.95ms
  2026-07-01 12:18:02 /api/leave-requests .................................................................. ~ 0.35ms
  2026-07-01 12:18:02 /api/attendance-time-edit-requests ................................................... ~ 0.18ms
  2026-07-01 12:18:02 /api/notifications ................................................................... ~ 1.50ms
  2026-07-01 12:18:02 /api/chat/unread-summary ............................................................. ~ 2.07ms
  2026-07-01 12:18:02 /api/leave-requests .................................................................. ~ 1.94ms
  2026-07-01 12:18:02 /api/attendance-time-edit-requests ................................................. ~ 507.35ms
  2026-07-01 12:18:03 /api/notifications ................................................................. ~ 507.56ms
  2026-07-01 12:18:03 /api/chat/unread-summary ............................................................. ~ 1.64ms
  2026-07-01 12:19:02 /api/leave-requests .................................................................. ~ 0.28ms
  2026-07-01 12:19:02 /api/attendance-time-edit-requests ................................................... ~ 0.11ms
  2026-07-01 12:19:02 /api/notifications ................................................................... ~ 1.24ms
  2026-07-01 12:19:02 /api/chat/unread-summary ............................................................. ~ 1.63ms
  2026-07-01 12:19:02 /api/leave-requests .................................................................. ~ 2.17ms
  2026-07-01 12:19:02 /api/attendance-time-edit-requests ................................................... ~ 1.55ms
  2026-07-01 12:19:03 /api/notifications ................................................................... ~ 1.14ms
  2026-07-01 12:19:03 /api/chat/unread-summary ............................................................. ~ 1.68ms
  2026-07-01 12:20:02 /api/leave-requests ................................................................ ~ 501.76ms
  2026-07-01 12:20:02 /api/attendance-time-edit-requests ................................................. ~ 503.71ms
  2026-07-01 12:20:02 /api/notifications ................................................................. ~ 504.78ms
  2026-07-01 12:20:02 /api/chat/unread-summary ........................................................... ~ 506.39ms
  2026-07-01 12:20:03 /api/leave-requests .................................................................. ~ 0.09ms
  2026-07-01 12:20:03 /api/attendance-time-edit-requests ................................................... ~ 1.71ms
  2026-07-01 12:20:03 /api/notifications ................................................................... ~ 1.16ms
  2026-07-01 12:20:03 /api/chat/unread-summary ............................................................. ~ 1.54ms
  2026-07-01 12:21:02 /api/leave-requests .................................................................. ~ 0.43ms
  2026-07-01 12:21:02 /api/attendance-time-edit-requests ................................................... ~ 0.11ms
  2026-07-01 12:21:02 /api/notifications ................................................................... ~ 1.63ms
  2026-07-01 12:21:02 /api/chat/unread-summary ............................................................. ~ 2.42ms
  2026-07-01 12:21:02 /api/leave-requests .................................................................. ~ 1.63ms
  2026-07-01 12:21:02 /api/attendance-time-edit-requests ................................................... ~ 1.68ms
  2026-07-01 12:21:03 /api/notifications ................................................................... ~ 1.83ms
  2026-07-01 12:21:03 /api/chat/unread-summary ............................................................. ~ 2.17ms
  2026-07-01 12:21:12 /api/leave-requests .................................................................. ~ 0.22ms
  2026-07-01 12:21:12 /api/attendance-time-edit-requests ................................................... ~ 0.11ms
  2026-07-01 12:21:12 /api/notifications ................................................................... ~ 1.31ms
  2026-07-01 12:21:12 /api/chat/unread-summary ............................................................. ~ 1.83ms
